Issue Type,Issue Key,Summary,Description,Priority,Status,Epic Name,Epic Link,Labels,Components,Blocked By,Assignee,Reporter
Epic,RF-EPIC-M6,M6 — Real product integration / sellable restaurant demo,"Epic for the M6 post-plan track (candidate D-030, advisory; see docs/M6_REAL_PRODUCT_INTEGRATION_PLAN.md). Connect the M5 demo UIs to the already-built backend (RF-014 to RF-094) by implementing the stub feature/auth packages, plus a fenced set of change-controlled new backend surfaces (menu, image storage, provisioning, tables, kitchen action). Frozen invariants remain binding; new backend amends the baseline and follows the architecture-change procedure. Connect, do not rebuild.",Highest,Backlog,M6 Real product integration / sellable restaurant demo,,M6,Frontend/Integration,,Claude Code,Saleh
Task,RF-107,Formalize M6 direction and Jira backlog,"Docs-only governance gate. Create the M6 direction plan, this human-readable backlog, and the Jira CSV, and record candidate decision D-030 inside the direction plan (not ratified into DECISIONS.md). No code, backend, or frozen-doc changes. Acceptance: M6 docs exist and are approved; D-030 recorded as candidate.",High,Backlog,,RF-EPIC-M6,M6;Docs,Docs/Architecture,,Claude Code,Saleh
Story,RF-108,Auth and role-based entry,"Implement packages/auth_identity and a shared Supabase-client bootstrap so each app gets a real session and routes by role: manager/owner email+MFA; cashier/kitchen device-pair + PIN. Reuses RF-050/051/059; no new schema. Acceptance: a real PIN/login yields pin_session_id + device_id + resolved org/restaurant/branch/role; RLS-scoped reads work; no service-role key in client.",Highest,Backlog,,RF-EPIC-M6,M6;Auth,Auth/Identity,RF-107,Claude Code,Saleh
Task,RF-109,Menu backend schema RLS RPC and sync,"NEW BACKEND (change-controlled). Add menu_categories/menu_items/item_sizes/item_variants/modifiers/modifier_options tables with RLS, audited management RPCs, and menu entities in sync_pull. Prices integer-minor; order snapshots stay authoritative (D-008). Acceptance: RLS-isolated menu CRUD via RPC; menu pulls to device; isolation suite green.",High,Backlog,,RF-EPIC-M6,M6;Backend,Backend/Menu,RF-108,Claude Code,Saleh
Task,RF-110,Menu image storage bucket and policies,"NEW BACKEND (change-controlled). Add a tenant-scoped Supabase Storage bucket with org-path RLS policies and a signed-URL/upload path for menu images. Acceptance: org-scoped upload/serve; org A cannot read/write org B; MIME/size limits enforced; no public PII.",High,Backlog,,RF-EPIC-M6,M6;Backend,Backend/Storage,RF-109,Claude Code,Saleh
Story,RF-111,Owner menu management UI,"Owner edits the menu: category/item/price/availability/size/variant/modifier CRUD plus image upload, in feature_menu. Consumes RF-109 RPCs and RF-110 storage. Prices integer-minor (no float). Acceptance: owner CRUD persists to backend and syncs to POS.",Medium,Backlog,,RF-EPIC-M6,M6;UI,UI/Menu,"RF-109,RF-110",Claude Code,Saleh
Task,RF-112,Settings users roles and device provisioning backend,"NEW BACKEND (change-controlled). Add RPCs for grant_membership/update_role, pair_device/approve_device, and update restaurant/branch settings, with RLS; reuse RF-061 revoke. Every mutation audited. Acceptance: owner manages users/roles/devices/settings, all audited and RLS-isolated; no cross-tenant or privilege escalation; isolation suite green.",High,Backlog,,RF-EPIC-M6,M6;Backend,Backend/Provisioning,RF-108,Claude Code,Saleh
Story,RF-113,Owner settings users and devices UI,"Owner admin surface for restaurant/branch settings, user list + role assignment, and device pairing, over RF-112 RPCs. Acceptance: end-to-end manage users/devices/settings against the backend, role-gated.",Medium,Backlog,,RF-EPIC-M6,M6;UI,UI/Admin,RF-112,Claude Code,Saleh
Story,RF-114,Tables order type and table assignment,"SMALL NEW BACKEND (change-controlled, or deferred local-first). POS order-type toggle (dine-in/takeaway); dine-in picks a table from a branch list. Add a small tables table + RLS (orders.table_id already exists); reuse domain TableAssignmentService. Acceptance: order carries order-type + table; one open dine-in per table.",Medium,Backlog,,RF-EPIC-M6,M6;POS,POS/Tables,RF-108,Claude Code,Saleh
Story,RF-115,POS real submit-order and client outbox push,"POS uses real menu and submits orders offline-first: implement feature_orders client and a client outbox push engine (retry/backoff/conflict over data_local outbox + data_remote transport, mirroring KdsSyncCoordinator) over submit_order (RF-052) and sync_push (RF-056). Idempotency device_id+local_operation_id (D-022); server recomputes totals (D-007). Acceptance: an order submitted offline applies exactly once on reconnect; totals server-validated; options snapshotted (D-008).",Highest,Backlog,,RF-EPIC-M6,M6;POS,Frontend/POS,"RF-108,RF-109,RF-114",Claude Code,Saleh
Story,RF-116,POS cash payment shift and receipt flow,"POS cash payment + shift + receipt: implement feature_payments and feature_shifts over record_payment (RF-054) and open/close/reconcile_shift (RF-055); build the receipt via the printing package. Integer change math; receipt number authoritative on sync; void blocked if paid (D-024); pay-first independence (D-025). Acceptance: cash payment completes; shift variance computed.",Highest,Backlog,,RF-EPIC-M6,M6;POS,Frontend/POS,RF-115,Claude Code,Saleh
Story,RF-117,KDS live backend orders and kitchen status actions,"SMALL NEW BACKEND (change-controlled). KDS shows real submitted orders by station and staff Acknowledge/Start/Mark-ready/Bump/Recall via a small new kitchen status-transition RPC; reuse sync_pull/realtime (RF-057/058) and KdsSyncCoordinator. Money-free (RLS redaction); polling is source of truth (D-010). Acceptance: a POS order appears on KDS within the poll interval and advances via the backend; no money visible.",High,Backlog,,RF-EPIC-M6,M6;KDS,Frontend/KDS,"RF-108,RF-115",Claude Code,Saleh
Story,RF-118,Receipt and kitchen-ticket browser print preview,"Browser print preview (no hardware): Print receipt / Print kitchen ticket opens a clean HTML/PDF preview via window.print, reusing the printing builders and a thin web renderer; keep the ESC/POS path intact for future native. Kitchen ticket money-free; receipt integer-money; ar/he/en RTL. Acceptance: a styled receipt/ticket prints from the browser; doc states hardware/local-bridge is future.",Medium,Backlog,,RF-EPIC-M6,M6;Printing,Printing,"RF-116,RF-117",Claude Code,Saleh
Story,RF-119,Owner dashboard real reports,"Dashboard reads real KPIs/daily-summary/sales-by-branch from daily_branch_sales_report and dashboard_* views (RF-075/092), RLS-scoped to the owner's branches, via a feature_reporting read client. Integer aggregation; single-currency grouping. Acceptance: dashboard numbers reconcile to real orders/payments.",Medium,Backlog,,RF-EPIC-M6,M6;UI,UI/Dashboard,"RF-108,RF-116",Claude Code,Saleh
Story,RF-120,Platform admin real data,"apps/admin shows the platform-admin org overview (RF-091) over the separate audited path, MFA-gated and reason-logged. Platform admin is separate from tenant roles (D-026). Acceptance: a platform admin sees the cross-org overview; tenant users cannot; access is audited.",High,Backlog,,RF-EPIC-M6,M6;Admin,UI/Admin,RF-108,Claude Code,Saleh
Task,RF-121,M6 final QA isolation run guide and hardening,"Ship-ready connected demo: write docs/M6_DEMO_RUN_GUIDE.md, harden the apps, and re-run the RF-060 isolation suite plus the new pgTAP from RF-109/110/112/114/117. Validate full workspace tests + guards + web builds + the canonical isolation set (cross-org, cashier-cannot-void-paid, KDS-no-money, revoked-device, removed-employee, platform-admin-audited). Acceptance: end-to-end demo passes; isolation tests green; run guide accurate.",High,Backlog,,RF-EPIC-M6,M6;QA,QA/Hardening,"RF-108,RF-109,RF-110,RF-111,RF-112,RF-113,RF-114,RF-115,RF-116,RF-117,RF-118,RF-119,RF-120",Claude Code,Saleh
