Issue Type,Issue Key,Summary,Description,Priority,Status,Epic Name,Epic Link,Labels,Components,Blocked By,Assignee,Reporter
Epic,RF-EPIC-M0A,M0A — Documentation and architecture baseline (frozen at RF-004),"Epic for milestone M0A (DECISION D-019). Authored the governance and architecture documents from the SHARED CANON before any code. Docs-only milestone: no Flutter apps, packages, migrations, or CI. The freeze EVENT (tag frozen v1) was RF-004, approved by the human owner (Saleh). Exit gate met: human sign-off (RF-004). M0A complete.",Highest,Done,M0A Documentation and architecture baseline (frozen at RF-004),,M0A,Docs/Architecture,,Claude Code,Saleh
Epic,RF-EPIC-M0B,M0B — Technical foundation,"Epic for milestone M0B (DECISION D-019). Monorepo, CI, Supabase bootstrap, first multi-tenant migrations, RLS skeleton, Drift+outbox, l10n+RTL. NO business features. Every tenant-scoped table carries organization_id (D-001).",Highest,Backlog,M0B Technical foundation,,M0B,Foundation/Infra,,Claude Code,Saleh
Epic,RF-EPIC-M1,M1 — Local POS and KDS prototype,"Epic for milestone M1 (DECISION D-019). Local Drift-backed POS + KDS prototype with no real backend. Enforce locked state enumerations (D-018) and price snapshots (D-008) locally; integer minor-unit money only (D-007).",High,Backlog,M1 Local POS and KDS prototype,,M1,Frontend/POS,,Claude Code,Saleh
Epic,RF-EPIC-M2,M2 — Real backend and synchronization,"Epic for milestone M2 (DECISION D-019). Supabase Auth, full RLS, RPC for sensitive mutations (D-011/D-012), outbox/inbox sync with idempotency (D-010/D-022), conflict handling, revocation propagation. Realtime is enhancement only (D-010).",Highest,Backlog,M2 Real backend and synchronization,,M2,Backend/DB,,Claude Code,Saleh
Epic,RF-EPIC-M3,M3 — Hardware pilot,"Epic for milestone M3 (DECISION D-019). ESC/POS printing behind a replaceable adapter, cash drawer, localized receipts/tickets (D-014), daily reports, one real restaurant/branch pilot. Surfaces Q-006/Q-015 and R-001/R-006.",High,Backlog,M3 Hardware pilot,,M3,Hardware/Printing,,Claude Code,Saleh
Epic,RF-EPIC-M4,M4 — Sellable SaaS,"Epic for milestone M4 (DECISION D-019). Self-serve organization signup, isolated audited platform admin, owner/manager dashboards, basic billing (Q-016), production hardening (Q-013). Multi-tenant isolation enforced throughout (D-001/R-003).",High,Backlog,M4 Sellable SaaS,,M4,Platform/SaaS,,Claude Code,Saleh
Story,RF-001,M0A Project Foundation and Architecture Documentation,"Scope: Author all M0A governance and architecture documents from the SHARED CANON (DECISIONS.md, OPEN_QUESTIONS.md, DOMAIN_MODEL.md, STATE_MACHINES.md, MONEY_AND_TAX_SPEC.md, SECURITY_AND_THREAT_MODEL.md, OFFLINE_SYNC_SPEC.md, PRINTERS_AND_HARDWARE_SPEC.md, API_CONTRACT.md, TESTING_STRATEGY.md, ARCHITECTURE.md, PRODUCT_SPEC.md, MVP_SCOPE.md, PROJECT_PLAN.md, IMPLEMENTATION_CHECKLIST.md, JIRA_IMPORT.csv, OPERATIONS_AND_RECOVERY.md, PILOT_PLAN.md). Docs-only: no application code, migrations, package manifests, or CI (M0A constraint).
DEPENDENCY-COLUMN CHOICE: this CSV uses a single ""Blocked By"" column (NOT ""Blocks""). Each row lists the issue keys that must complete before it can start, taken directly from the master task list Dependencies field. Importers should map ""Blocked By"" to the Jira ""is blocked by"" link type.
Acceptance: every locked enumeration (D-018), role key, decision ID (D-001..D-028), open-question ID (Q-001..Q-024), and naming convention (D-017) is used consistently; document ownership respected; no contradiction with canon; no single-tenant or shared-account assumptions; no floating-point money (D-007).
Workstream: Docs/Architecture. Reviewer: Codex (RF-002).
Architecture/Security impact: foundational; establishes tenant isolation boundary organization_id (D-001), four-layer security model (D-011/D-012/D-013), and offline-first sync contract (D-010) that all later tickets implement against. RISK R-005 (bus factor) mitigated by full documentation.",Highest,Done,,RF-EPIC-M0A,M0A;Docs,Docs/Architecture,,Claude Code,Saleh
Task,RF-002,Codex independent review of M0A documentation,"Scope: Read-only adversarial review of every M0A document for contradictions, gaps, and insufficient security/sync rigor.
Acceptance: each document checked against the canon; all defects logged; isolation/permission test coverage (SECURITY_AND_THREAT_MODEL.md) and sync rules (OFFLINE_SYNC_SPEC.md) judged complete; sign-off recommendation issued.
Workstream: QA/Review. Reviewer: Human.
Architecture/Security impact: gate before architecture freeze; protects against R-003 (RLS correctness) and R-002 (sync conflicts) by catching specification gaps early. Codex reviews read-only (D-016). Review complete; verdict APPROVE WITH CHANGES.",Highest,Done,,RF-EPIC-M0A,M0A;QA-Review,QA/Review,RF-001,Codex,Saleh
Task,RF-003,Resolve M0A blocking OPEN QUESTIONS,"Scope: Decide the blocking open questions: Q-001 jurisdiction, Q-007 currency, Q-006/Q-015 pilot hardware shortlist, Q-008 MFA method/roles, Q-009 offline authorization window. Per D-027 (M0B blocker rule), each question may end Resolved OR explicitly Accepted Open.
Acceptance: each listed Q-id is either Resolved in OPEN_QUESTIONS.md with rationale, OR marked Accepted Open with a named owner, an identified blocking ticket/milestone, a documented safe interim, and no irreversible assumption (D-027); an Accepted Open question blocks only its dependent ticket(s), not the milestone start; downstream money/tax (Q-002/Q-003/Q-004) and printing (R-006) implications noted; no silent assumptions.
Workstream: Decision. Reviewer: Human.
Architecture/Security impact: unblocks money/tax freeze (R-008) and MFA/offline-validity security controls (R-007). Owner ChatGPT/Human. Done: Q-001..Q-024 recorded Accepted Open (none resolved/guessed).",High,Done,,RF-EPIC-M0A,M0A;Decision,Decision,RF-002,ChatGPT/Human,Saleh
Task,RF-004,Freeze architecture and contracts v1,"Scope: Human sign-off on the M0A document set; tag docs as frozen v1; this is the freeze EVENT that opens the gate to start M0B.
Acceptance: this gate does NOT require all of Q-001..Q-024 to be resolved (D-027); it requires (a) human architecture approval AND (b) every still-open question being either Resolved or recorded as Accepted Open (named owner, identified blocking ticket/milestone, safe interim, no irreversible assumption); all M0A docs reviewed (RF-002); frozen v1 tag applied; change-control note recorded.
Workstream: Decision. Reviewer: Human.
Architecture/Security impact: establishes the frozen contracts (API_CONTRACT.md, DOMAIN_MODEL.md, STATE_MACHINES.md) that M0B+ implement against; enforces D-016 human gate before code. Owner Human; APPROVED by Saleh — M0A architecture baseline FROZEN as v1 at RF-004.",High,Done,,RF-EPIC-M0A,M0A;Decision,Decision,"RF-002,RF-003",Human,Saleh
Task,RF-010,Initialize Melos monorepo skeleton,"Scope: Create Melos workspace and app/package layout per ARCHITECTURE.md. No business code.
Acceptance: melos bootstrap succeeds; app and package directories exist per architecture; analyzer baseline green.
Workstream: Foundation/Infra. Reviewer: Codex.
Architecture/Security impact: structural only; sets the monorepo shape (D-009) all later packages depend on.",High,Backlog,,RF-EPIC-M0B,M0B;Foundation-Infra,Foundation/Infra,RF-004,Claude Code,Saleh
Task,RF-011,Shared packages scaffold (core models design l10n),"Scope: Create empty shared packages (core, models, design, l10n) exposing public interfaces only.
Acceptance: packages compile; public API surface defined; no business logic.
Workstream: Foundation/Infra. Reviewer: Codex.
Architecture/Security impact: shared-package change (D-016 requires dedicated ticket); establishes contracts for money types (integer minor units, D-007) and domain models (DOMAIN_MODEL.md).",High,Backlog,,RF-EPIC-M0B,M0B;Foundation-Infra,Foundation/Infra,RF-010,Claude Code,Saleh
Task,RF-012,CI pipeline (analyze test build),"Scope: GitHub Actions with format, analyze, and test gates on pull requests.
Acceptance: PRs blocked on failing format/analyze/test; build job green on main.
Workstream: Foundation/Infra. Reviewer: Human.
Architecture/Security impact: enforces quality gates supporting the agent workflow (D-016); no business logic.",High,Backlog,,RF-EPIC-M0B,M0B;Foundation-Infra,Foundation/Infra,RF-010,Claude Code,Saleh
Task,RF-013,Supabase project bootstrap + environments + secrets,"Scope: Create Supabase projects/environments; define secrets handling. SECURITY REQUIREMENT: no service-role key in Flutter clients (D-011).
Acceptance: dev/staging/prod environments provisioned; secrets stored outside clients; access documented.
Workstream: Backend/DB. Reviewer: Human.
Architecture/Security impact: foundational backend (D-009); enforces no-service-role-in-client control (D-011).",High,Backlog,,RF-EPIC-M0B,M0B;Backend-DB,Backend/DB,RF-004,Claude Code,Saleh
Task,RF-014,First multi-tenant migration (orgs/restaurants/branches) + RLS skeleton,"Scope: Migration for organizations, restaurants, branches with organization_id on every tenant-scoped table; baseline RLS; database constraints.
Acceptance: schema matches D-017 naming; RLS denies cross-org access by default; constraints as final boundary (D-012).
Workstream: Backend/DB. Reviewer: Codex.
Architecture/Security impact: establishes primary isolation boundary organization_id (D-001/D-002); CRITICAL for R-003. Layers 1 and 4 of security model (D-012).",Highest,Backlog,,RF-EPIC-M0B,M0B;Backend-DB,Backend/DB,RF-013,Claude Code,Saleh
Task,RF-015,Identity and membership schema + RLS,"Scope: users/app_users, memberships, employee_profiles, roles; membership-scoped RLS. Per D-026, platform_admin is NOT a membership role; the identity schema includes a separate platform_admin_grants table (no organization_id; DOMAIN_MODEL.md 3.7) for platform-admin authority via a distinct, audited path.
Acceptance: six identity concepts kept distinct (D-005); roles are membership-scoped not global (D-004); no shared accounts; RLS enforces membership scope; platform_admin is rejected as a memberships role value and platform-admin authority lives only in platform_admin_grants (no organization_id) per D-026; full platform-admin separation tests (SECURITY T-008..T-011) owned by RF-019/RF-060.
Workstream: Backend/DB. Reviewer: Codex.
Architecture/Security impact: implements D-004/D-005 identity model; tenant membership role keys org_owner/restaurant_owner/manager/cashier/kitchen_staff/accountant (accountant per Q-017); platform_admin separated into platform_admin_grants (D-026).",Highest,Backlog,,RF-EPIC-M0B,M0B;Backend-DB,Backend/DB,RF-014,Claude Code,Saleh
Task,RF-016,Device identity pairing device/pin sessions + RLS,"Scope: devices, device_pairings (expiring enrollment codes), device_sessions, pin_sessions with RLS.
Acceptance: device identity separate from human (D-005); pairing uses short-lived enrollment codes; pairing state machine code_issued->pending->paired->active->suspended->revoked plus code_expired/rejected (D-018); revocation removes future access (R-007/Q-009).
Workstream: Backend/DB. Reviewer: Codex.
Architecture/Security impact: implements D-006 device/PIN auth; supports offline-revocation control (R-007).",High,Backlog,,RF-EPIC-M0B,M0B;Backend-DB,Backend/DB,RF-015,Claude Code,Saleh
Task,RF-017,Append-only audit events + enforcement,"Scope: audit_events table plus triggers/RPC; immutable to application roles.
Acceptance: captures actor, device, organization, restaurant, branch, timestamp, action, reason, old values, new values (D-013); never updatable/deletable by app roles.
Workstream: Security. Reviewer: Codex.
Architecture/Security impact: implements append-only audit (D-013); underpins platform-admin isolation auditing and sensitive-mutation audit (layer 3, D-012).",High,Backlog,,RF-EPIC-M0B,M0B;Security,Security,RF-014,Claude Code,Saleh
Task,RF-018,Drift local schema + outbox/inbox tables,"Scope: Local SQLite/Drift schema, outbox, processed-operation ledger, idempotency keys (device_id + local_operation_id).
Acceptance: local schema mirrors sync columns (device_id, local_operation_id, revision/version, client/server timestamps per D-017); outbox/ledger present; tombstones for deletions (D-020).
Workstream: Sync/Offline. Reviewer: Codex.
Architecture/Security impact: foundation of offline-first store (D-010); idempotency keys per D-022.",High,Backlog,,RF-EPIC-M0B,M0B;Sync-Offline,Sync/Offline,RF-011,Claude Code,Saleh
Task,RF-019,Tenant-isolation test harness (RLS suite skeleton),"Scope: Harness asserting cross-tenant denial; seed multi-org fixtures. Extensible to platform-admin separation tests SECURITY T-008..T-011 (D-026): membership cannot grant platform-admin; a grant is not a membership; platform-admin access audited; privileged path enforced. Skeleton here; full implementation at RF-060.
Acceptance: fixtures create at least two organizations; harness can assert Org A cannot read Org B data; skeleton ready for canonical isolation cases including platform-admin separation cases T-008..T-011.
Workstream: QA/Testing. Reviewer: Codex.
Architecture/Security impact: scaffolds mandatory isolation tests (SECURITY_AND_THREAT_MODEL.md) incl. platform-admin separation (D-026); directly mitigates R-003 (CRITICAL).",High,Backlog,,RF-EPIC-M0B,M0B;QA-Testing,QA/Testing,RF-014,Claude Code,Saleh
Task,RF-020,Localization framework (ar/he/en) + RTL/LTR scaffolding,"Scope: arb/intl setup and directionality plumbing for Arabic, Hebrew, English.
Acceptance: ar/he resolve RTL, en resolves LTR (D-014); localization framework wired; no business strings required.
Workstream: Foundation/Infra. Reviewer: Codex.
Architecture/Security impact: implements D-014 languages and direction; supports localized receipts/tickets later (PRINTERS_AND_HARDWARE_SPEC.md).",Medium,Backlog,,RF-EPIC-M0B,M0B;Foundation-Infra,Foundation/Infra,RF-011,Claude Code,Saleh
Task,RF-021,Local data-at-rest protection and device secret handling,"Scope: Secure storage for device/session secrets and protection of local operational data at rest. Evaluate and implement encrypted Drift/SQLite at rest with documented platform support and limitations; define key lifecycle (create/store/rotate/revoke); define fail-closed behavior when platform secure storage is unavailable; no secrets in logs; no plaintext sensitive-data fallback without explicit human approval. Builds on RF-013 (Supabase bootstrap + secrets) and RF-018 (Drift local schema + outbox); aligns SECURITY_AND_THREAT_MODEL.md and OPERATIONS_AND_RECOVERY.md.
Acceptance: data-at-rest encryption enabled where the platform supports it (limitations documented where it does not); device/session secrets stored only in platform secure storage, never plaintext, never in logs; documented key lifecycle (create/store/rotate/revoke); fail-closed when secure storage is unavailable; no plaintext sensitive-data fallback without explicit human approval.
Required tests: data-at-rest encryption test where technically possible; secret-handling + log-redaction test (no secrets in logs); fail-closed behavior test.
Workstream: Security. Reviewer: Codex.
Architecture/Security impact: secure-storage and at-rest-encryption layer for the local store; protects device/session secrets; fail-closed posture (SECURITY REQUIREMENT, R-007). Architecture impact medium; security impact high.",High,Backlog,,RF-EPIC-M0B,M0B;Security,Security,"RF-013,RF-018",Claude Code,Saleh
Task,RF-030,Menu domain (categories/items/sizes/variants/modifiers) — local,"Scope: Local Drift-backed menu model and repository for menu_categories, menu_items, item_sizes, item_variants, modifiers, modifier_options.
Acceptance: schema per D-017; money fields integer _minor (D-007); supports price snapshots later (D-008).
Workstream: Frontend/POS. Reviewer: Codex.
Architecture/Security impact: local-only menu domain (M1); no backend dependency yet (DOMAIN_MODEL.md).",High,Backlog,,RF-EPIC-M1,M1;Frontend-POS,Frontend/POS,RF-018,Claude Code,Saleh
Task,RF-031,POS cart + order build — local,"Scope: Fast cashier cart with price and modifier snapshots captured at order time (D-008).
Acceptance: orders never recompute from live menu prices; integer minor-unit math only (D-007); single currency per order (Q-007).
Workstream: Frontend/POS. Reviewer: Codex.
Architecture/Security impact: implements D-008 snapshots; foundation for order state machine.",High,Backlog,,RF-EPIC-M1,M1;Frontend-POS,Frontend/POS,RF-030,Claude Code,Saleh
Task,RF-032,Order submission + order/order-item state machines — local,"Scope: Enforce locked enumerations locally. Order: draft->submitted->accepted->preparing->ready->served->completed plus cancelled/voided; takeaway skips served. Order item: pending->queued->preparing->ready->served plus voided/cancelled (D-018).
Acceptance: illegal transitions rejected; terminal states honored (completed/cancelled/voided).
Workstream: Frontend/POS. Reviewer: Codex.
Architecture/Security impact: implements D-018 order state machines (STATE_MACHINES.md).",High,Backlog,,RF-EPIC-M1,M1;Frontend-POS,Frontend/POS,RF-031,Claude Code,Saleh
Task,RF-033,Kitchen routing (items -> stations) — local,"Scope: Routing rules sending order items to kitchen stations.
Acceptance: items route to correct station(s); station scoping respected.
Workstream: Frontend/KDS. Reviewer: Codex.
Architecture/Security impact: prepares kitchen ticket/station model (DOMAIN_MODEL.md, STATE_MACHINES.md).",Medium,Backlog,,RF-EPIC-M1,M1;Frontend-KDS,Frontend/KDS,RF-032,Claude Code,Saleh
Task,RF-034,KDS screens + kitchen ticket/station state machines — local,"Scope: KDS screens with bump/recall flows. Kitchen ticket: new->acknowledged->in_preparation->ready->bumped plus recalled (bumped->in_preparation, audited)/cancelled. Kitchen station item: queued->in_preparation->ready->bumped plus voided (D-018).
Acceptance: recall is audited; terminal states honored.
Workstream: Frontend/KDS. Reviewer: Codex.
Architecture/Security impact: implements D-018 kitchen state machines; recall audit aligns with D-013.",High,Backlog,,RF-EPIC-M1,M1;Frontend-KDS,Frontend/KDS,RF-033,Claude Code,Saleh
Task,RF-035,Table management (dine-in/takeaway) basic,"Scope: tables plus order type (dine-in/takeaway).
Acceptance: takeaway path skips served per D-018; tables scoped to branch.
Workstream: Frontend/POS. Reviewer: Codex.
Architecture/Security impact: supports order-type branching in state machine (STATE_MACHINES.md).",Medium,Backlog,,RF-EPIC-M1,M1;Frontend-POS,Frontend/POS,RF-031,Claude Code,Saleh
